Maccabi Women's Clinic,"HaPalmach St 107, Holon",Clinic
Meuhedet Pediatric Clinic,"Menachem Begin St 23, Haifa",Clinic
Meuhedet Women's Clinic,"HaPalmach St 110, Ashkelon",Clinic
Leumit Clinic,"HaPalmach St 24, Ra'anana",Clinic
Meuhedet Women's Clinic,"Rothschild Ave 65, Ashdod",Clinic
Clalit Women's Clinic,"Rothschild Ave 6, Jerusalem",Clinic
Maccabi Health Center,"Ben Gurion Blvd 43, Kfar Saba",Clinic
Maccabi City Clinic,"Rothschild Ave 117, Ashkelon",Clinic
Meuhedet City Clinic,"Herzl St 144, Bat Yam",Clinic
Clalit Health Center,"Weizmann St 13, Haifa",Clinic
Clalit Women's Clinic,"HaTikva St 133, Beersheba",Clinic
Maccabi City Clinic,"HaTikva St 89, Ashdod",Clinic
Maccabi Clinic,"HaShalom Rd 37, Kfar Saba",Clinic
Leumit Health Center,"HaNegev St 29, Bat Yam",Clinic
Meuhedet Family Clinic,"HaNegev St 121, Petah Tikva",Clinic
Clalit Women's Clinic,"Herzl St 44, Haifa",Clinic
Assuta Hospital,"HaYarkon St 11, Petah Tikva",Hospital
Leumit Pediatric Clinic,"Ben Gurion Blvd 117, Rehovot",Clinic
Maccabi Family Clinic,"Jabotinsky St 5, Rehovot",Clinic
Leumit Clinic,"HaTikva St 113, Beersheba",Clinic
Clalit Women's Clinic,"Sokolov St 96, Ashkelon",Clinic
Leumit Clinic,"Weizmann St 37, Bnei Brak",Clinic
Leumit Pediatric Clinic,"Begin Blvd 68, Modiin",Clinic
Leumit Clinic,"Jabotinsky St 77, Modiin",Clinic
Clalit City Clinic,"HaYarkon St 47, Ashkelon",Clinic
Meuhedet City Clinic,"Menachem Begin St 90, Tel Aviv",Clinic
Meuhedet Pediatric Clinic,"HaTikva St 104, Kfar Saba",Clinic
Leumit Health Center,"Jabotinsky St 124, Holon",Clinic
Leumit Health Center,"HaYarkon St 112, Modiin",Clinic
Maccabi Pediatric Clinic,"Weizmann St 60, Rishon LeZion",Clinic
Meuhedet Clinic,"HaYarkon St 98, Ramat Gan",Clinic
Leumit Women's Clinic,"Ben Gurion Blvd 141, Ashkelon",Clinic
Leumit City Clinic,"Begin Blvd 70, Beersheba",Clinic
Meuhedet Clinic,"HaYarkon St 62, Ramat Gan",Clinic
Clalit Pediatric Clinic,"Sokolov St 136, Rehovot",Clinic
Meuhedet Health Center,"HaHistadrut St 65, Netanya",Clinic
Clalit Pediatric Clinic,"HaPalmach St 44, Ashdod",Clinic
Leumit Clinic,"Menachem Begin St 20, Herzliya",Clinic
Clalit Health Center,"Ben Gurion Blvd 101, Rehovot",Clinic
Meuhedet Health Center,"Herzl St 74, Modiin",Clinic
Clalit Health Center,"HaShalom Rd 12, Bnei Brak",Clinic
Leumit Family Clinic,"Sokolov St 20, Ashdod",Clinic
Clalit Clinic,"HaHistadrut St 39, Ramat Gan",Clinic
Maccabi Family Clinic,"HaHistadrut St 28, Rishon LeZion",Clinic
Clalit Family Clinic,"Begin Blvd 29, Kfar Saba",Clinic
Leumit Family Clinic,"HaHistadrut St 102, Ashkelon",Clinic
Maccabi Family Clinic,"HaHistadrut St 41, Tel Aviv",Clinic
Leumit Women's Clinic,"HaNegev St 115, Ramat Gan",Clinic
Meuhedet Women's Clinic,"Ben Gurion Blvd 119, Holon",Clinic
Clalit Women's Clinic,"HaPalmach St 139, Ashdod",Clinic
Leumit Clinic,"Jabotinsky St 51, Ashkelon",Clinic
Meuhedet City Clinic,"Herzl St 33, Ra'anana",Clinic
Leumit Women's Clinic,"HaNegev St 149, Ramat Gan",Clinic
Leumit Health Center,"Herzl St 52, Jerusalem",Clinic
Leumit Health Center,"HaHistadrut St 16, Ashkelon",Clinic
Maccabi Clinic,"HaYarkon St 94, Ashdod",Clinic
Maccabi Family Clinic,"HaTikva St 98, Bat Yam",Clinic
Leumit Women's Clinic,"Ben Gurion Blvd 76, Rehovot",Clinic
Leumit City Clinic,"Rothschild Ave 115, Herzliya",Clinic
Leumit Pediatric Clinic,"HaNegev St 140, Bnei Brak",Clinic
Leumit Women's Clinic,"Ben Gurion Blvd 42, Bat Yam",Clinic
Meuhedet Pediatric Clinic,"HaHistadrut St 65, Rehovot",Clinic
Maccabi Clinic,"Weizmann St 12, Jerusalem",Clinic
Soroka Medical Center,"HaYarkon St 6, Ashdod",Hospital
Maccabi Family Clinic,"HaPalmach St 125, Ashkelon",Clinic
Meuhedet Family Clinic,"Jabotinsky St 84, Haifa",Clinic
Leumit City Clinic,"Weizmann St 35, Kfar Saba",Clinic
Clalit Family Clinic,"Begin Blvd 107, Netanya",Clinic
Meuhedet Health Center,"Sokolov St 132, Rishon LeZion",Clinic
Meuhedet City Clinic,"HaYarkon St 15, Tel Aviv",Clinic
Meuhedet Women's Clinic,"Sokolov St 23, Bat Yam",Clinic
Maccabi Health Center,"HaYarkon St 74, Modiin",Clinic
Maccabi Pediatric Clinic,"HaNegev St 56, Ramat Gan",Clinic
Meuhedet Health Center,"Allenby St 129, Jerusalem",Clinic
Meuhedet Women's Clinic,"Begin Blvd 122, Ra'anana",Clinic
Maccabi Clinic,"HaTikva St 81, Kfar Saba",Clinic
Leumit City Clinic,"HaPalmach St 11, Haifa",Clinic
Leumit Women's Clinic,"HaYarkon St 113, Rishon LeZion",Clinic
Leumit Women's Clinic,"Jabotinsky St 124, Ramat Gan",Clinic
Leumit Clinic,"Jabotinsky St 21, Rehovot",Clinic
Clalit Health Center,"Allenby St 46, Jerusalem",Clinic
Meuhedet Pediatric Clinic,"Jabotinsky St 60, Bat Yam",Clinic
Clalit Health Center,"Menachem Begin St 81, Tel Aviv",Clinic
Meuhedet Women's Clinic,"Sokolov St 115, Tel Aviv",Clinic
Clalit Women's Clinic,"HaPalmach St 11, Holon",Clinic
Meuhedet Women's Clinic,"Menachem Begin St 122, Haifa",Clinic
Leumit Family Clinic,"Ben Gurion Blvd 24, Tel Aviv",Clinic
Maccabi Pediatric Clinic,"Sokolov St 62, Petah Tikva",Clinic
Clalit Pediatric Clinic,"Allenby St 107, Ashkelon",Clinic
Maccabi Family Clinic,"HaYarkon St 77, Kfar Saba",Clinic
Leumit City Clinic,"HaNegev St 36, Haifa",Clinic
Meuhedet Pediatric Clinic,"Begin Blvd 123, Ra'anana",Clinic
Meuhedet Family Clinic,"HaShalom Rd 80, Bat Yam",Clinic
Clalit Pediatric Clinic,"Menachem Begin St 69, Tel Aviv",Clinic
Clalit Family Clinic,"HaHistadrut St 19, Holon",Clinic
Leumit City Clinic,"HaYarkon St 136, Holon",Clinic
Clalit Pediatric Clinic,"HaHistadrut St 50, Rehovot",Clinic
Maccabi Pediatric Clinic,"HaNegev St 149, Rishon LeZion",Clinic
Leumit Women's Clinic,"Ben Gurion Blvd 116, Rehovot",Clinic
Maccabi City Clinic,"Ben Gurion Blvd 61, Bnei Brak",Clinic
Clalit Women's Clinic,"Begin Blvd 76, Petah Tikva",Clinic
Meuhedet Clinic,"Jabotinsky St 142, Kfar Saba",Clinic
Meuhedet Clinic,"Begin Blvd 140, Bat Yam",Clinic
Clalit City Clinic,"Jabotinsky St 41, Bnei Brak",Clinic
Maccabi Clinic,"Begin Blvd 98, Ra'anana",Clinic
Clalit Family Clinic,"Ben Gurion Blvd 143, Bnei Brak",Clinic
Clalit Clinic,"Jabotinsky St 56, Ashdod",Clinic
Maccabi Clinic,"Rothschild Ave 133, Rehovot",Clinic
Maccabi City Clinic,"Menachem Begin St 59, Kfar Saba",Clinic
Maccabi Family Clinic,"HaPalmach St 15, Haifa",Clinic
Clalit City Clinic,"HaTikva St 80, Bat Yam",Clinic
Clalit Women's Clinic,"HaTikva St 9, Haifa",Clinic
Clalit Family Clinic,"HaYarkon St 28, Bat Yam",Clinic
